2023-03-23 14:51:28.385[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-03-23 14:51:28.572[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Initializing Spring embedded WebApplicationContext
2023-03-23 14:51:28.572[main][org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:292] INFO  - Root WebApplicationContext: initialization completed in 1944 ms
2023-03-23 14:51:29.012[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Starting ProtocolHandler ["http-nio-8080"]
2023-03-23 14:51:29.028[main][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220] INFO  - Tomcat started on port(s): 8080 (http) with context path ''
2023-03-23 14:51:29.059[main][com.lp.concurrent_thread.init.SysInit:35] INFO  - lock.........
2023-03-23 14:51:29.059[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:35] INFO  - ***************开始抢票事件***************
2023-03-23 14:51:29.059[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:35] INFO  - ***************开始抢票事件***************
2023-03-23 14:51:29.059[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[tom]抢到了，第[2]票，余票[8]
2023-03-23 14:51:29.059[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:41] INFO  - 用户=>[jack]抢到了，第[1]票，余票[9]
2023-03-23 14:51:29.075[main][org.springframework.boot.StartupInfoLogger:61] INFO  - Started ConcurrentThreadApplication in 3.749 seconds (JVM running for 6.343)
2023-03-23 14:51:29.168[pool-2-thread-1][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
2023-03-23 14:51:29.168[pool-2-thread-2][com.lp.concurrent_thread.thread.demo.lock.tickets.ConcurrentTicketsL:47] INFO  - 仓库中票已经没了
