2023-05-17 14:58:48.563[main][org.springframework.scheduling.concurrent.ExecutorConfigurationSupport:181] INFO  - Initializing ExecutorService 'applicationTaskExecutor'
2023-05-17 14:58:48.798[main][org.springframework.scheduling.concurrent.ExecutorConfigurationSupport:218] INFO  - Shutting down ExecutorService 'applicationTaskExecutor'
2023-05-17 14:58:48.811[main-EventThread][org.apache.zookeeper.ClientCnxn$EventThread:512] INFO  - EventThread shut down
2023-05-17 14:58:48.811[main][org.apache.zookeeper.ZooKeeper:684] INFO  - Session: 0x1002c6b6d530003 closed
2023-05-17 14:58:48.816[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Stopping service [Tomcat]
2023-05-17 15:03:29.034[main][org.springframework.boot.StartupInfoLogger:55] INFO  - Starting ZkCuratorApplication on DESKTOP-T987IHU with PID 11260 (E:\github\myResource_02\start_demo_02\zk_curator\target\classes started by TY in E:\github\myResource_02\start_demo_02)
2023-05-17 15:03:29.037[main][org.springframework.boot.SpringApplication:651] INFO  - No active profile set, falling back to default profiles: default
2023-05-17 15:03:32.139[main][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108] INFO  - Tomcat initialized with port(s): 8080 (http)
2023-05-17 15:03:32.153[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 15:03:32.155[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Starting service [Tomcat]
2023-05-17 15:03:32.156[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Starting Servlet engine: [Apache Tomcat/9.0.41]
2023-05-17 15:03:32.158[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2023-05-17 15:03:32.159[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2023-05-17 15:03:32.159[main][org.apache.juli.logging.DirectJDKLog:173] INFO  - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
